CODE,UZ,RU,EN
887,Matebele,МАТЕБЕЛЕ/МЕТЕБЕЛЕ,MATEBELE
888,Shona,ШОНА/ШОНА,SHONA
889,Mbum,МБУМ/МБУМ,MBUM
890,Mbundu,МБУНДУ/МБУНДУ,MBUNDU
891,Meksikalik,МЕКСИКАНЕЦ/МЕКСИКАНКА,MEXICAN
892,Mende,МЕНДЕ/МЕНДЕ,MENDE
893,Mileke (Bamileke),МИЛЕКЕ (БАМИЛЕКЕ)/МИЛЕКЕ (БАМИЛЕКЕ),MILEKE (BAMILEKE)
894,Minangkabau,МИНАНГКАБАУ/МИНАНГКАБАУ,MINANGKABAU
895,Mishtek,МИШТЕК/МИШТЕК,MIXTEC
896,Mongo,МОНГО/МОНГО,MONGO
897,Mon (Talain),МОН (ТАЛАИН)/МОН (ТАЛАИН),MON
898,Mosi,МОСИ/МОСИ,MOSSI
899,Miong,МЫОНГ/МЫОНГ,MUONG
900,Myao,МЯО/МЯО,MIAO
907,Ngala (Lingala),НГАЛА (ЛИНГАЛА)/НГАЛА (ЛИНГАЛА),NGALA (LINGALA)
908,Nganasan,НГАНАСАН/НГАНАСАН,NGANASAN
909,Ngoni,НГОНИ/НГОНИ,NGONI
910,Nda (Banda),НДА (БАНДА)/НДА (БАНДА),NDA (BANDA)
912,Nevarli,НЕВАРЕЦ/НЕВАРКА,NEWA
913,Negidal,НЕГИДАЛЕЦ/НЕГИДАЛКА,NEGIDAL
914,Yangi Kaledoniyalik,НОВОКАЛЕДОНЕЦ/НОВОКАЛЕДОНКА,NEW CALEDONIAN
915,Norvegiyalik,НОРВЕЖЕЦ/НОРВЕЖКА,NORWEGIAN
916,Nubiyalik,НУБИЕЦ/НУБИЙКА,NUBIAN
917,Nupe,НУПЕ/НУПЕ,NUPE
918,Nuristanli,НУРИСТАНЕЦ/НУРИСТАНКА,NURISTANI
919,Nuer,НУЭР/НУЭР,NUER
920,Nika (Vanika),НЬИКА (ВАНЬИКА)/НЬИКА (ВАНЬИКА),NYIKA (WANYIKA)
921,Nyakole (Banyakole),НЬЯКОЛЕ (БАНЬЯКОЛЕ)/НЬЯКОЛЕ (БАНЬЯКОЛЕ),NYAKOLE (BANYAKOLE)
922,Nyamvezi (Vanyamvezi),НЬЯМВЕЗИ (ВАНЬЯМВЕЗИ)/НЬЯМВЕЗИ (ВАНЬЯМВЕЗИ),NYAMWEZI (WANYAMWEZI)
923,Nyaruanda (Banyaruanda),НЬЯРУАНДА (БАНЬЯРУАНДА)/НЬЯРУАНДА (БАНЬЯРУАНДА),NYARUANDA (BANYARUANDA)
924,Nyaturu (Vanyaturu),НЬЯТУРУ (ВАНЬЯТУРУ)/НЬЯТУРУ (ВАНЬЯТУРУ),NYATURU (WANYATURU)
925,Ovambo,ОВАМБО/ОВАМБО,OVAMBO
926,Ovimbundu,ОВИМБУНДУ/ОВИМБУНДУ,OVIMBUNDU
927,Oyrat,ОЙРАТ/ОЙРАТ,OIRAT
928,Shimoliy Irlandiyalik,СЕВЕРНЫЙ ИРЛАНДЕЦ/СЕВЕРНАЯ ИРЛАНДКА,NORTHERN IRISH
929,Oriya,ОРИЯ/ОРИЯ,ORIYA
930,Orok,ОРОК/ОРОК,OROK
931,Oromo,ОРОМО/ОРОМО,OROMO
932,Orochi,ОРОЧИ/ОРОЧИ,OROCH
933,Otomi,ОТОМИ/ОТОМИ,OTOMI
934,Pampangan,ПАМПАНГАН/ПАМПАНГАН,KAPAMPANGANS
935,Panamalik,ПАНАМЕЦ/ПАНАМКА,PANAMANIAN
936,Pangasinan,ПАНГАСИНАН/ПАНГАСИНАНКА,PANGASINAN
937,Panjoblik,ПАНЖАБЕЦ/ПАНЖАБКА,PUNJABI
938,Papuas,ПАПУАС/ПАПУАСКА,PAPUAN
939,Pashai,ПАШАИ/ПАШАИ,PASHAI
940,Pedi,ПЕДИ/ПЕДИ,PEDI (NOTHERN SOTHO)
941,Pepel,ПЕПЕЛЬ/ПЕПЕЛЬ,PEPEL
942,Peruanlik,ПЕРУАНЕЦ/ПЕРУАНКА,PERUVIAN
943,Portugaliyalik,ПОРТУГАЛ/ПОРТУГАЛКА,PORTUGUESE
739002432,Iroqlik,ИРАКЕЦ,IRAQI
944,Puertorikanlik,ПУЭРТОРИКАНЕЦ/ПУЭРТОРИКАНКА,PUERTO-RICAN
945,Radjastanlik,РАДЖАСТАНЕЦ/РАДЖАСТАНКА,RAJASTHANIAN
946,Rif,РИФ/РИФ,RIFFIAN
947,Romansh,РОМАНШ/РОМАНШ,ROMANSH
948,Rundi,РУНДИ/РУНДИ,RUNDI
949,Saami,СААМИ/СААМИ,SAMI
950,Salvadorlik,САЛЬВАДОРЕЦ/САЛЬВАДОРКА,SALVADORAN
951,Santal,САНТАЛ/САНТАЛ,SANTAL
952,Sapotek,САПОТЕК/САПОТЕК,ZAPOTEC
953,Sara (Bagirmi),САРА (БАГИРМИ)/САРА (БАГИРМИ),SARA (BAGIRMI)
954,Svazi,СВАЗИ/СВАЗИ,SWASI
955,Selkup,СЕЛЬКУП/СЕЛЬКУПКА,SELKUP
956,Senufo,СЕНУФО/СЕНУФО,SENUFO
957,Serer,СЕРЕР/СЕРЕР,SERER
958,Siam,СИАМ/СИАМКА,SIAM
959,Sidamo,СИДАМО/СИДАМО,SIDAMA
960,Sikon,СИКОН/СИКОН,SIKON
961,Singallik,СИНГАЛЕЦ/СИНГАЛКА,SINHALESE
962,Sindxi,СИНДХИ/СИНДХИ,SINDHI
963,Sloven,СЛОВЕН/СЛОВЕНКА,SLOVENE
964,Somali,СОМАЛИЕЦ/СОМАЛИЙКА,SOMALI
965,Somba,СОМБА/СОМБА,SOMBA
966,Songai,СОНГАИ/СОНГАИ,SONGHAI
967,Soninke,СОНИНКЕ/СОНИНКЕ,SONINKE
968,Suaxili,СУАХИЛИ/СУАХИЛИ,SWAHILI
969,So'i,СУИ/СУИ,SOOEY
970,Sulu-Samal,СУЛУСАМАЛЬ/СУЛУСАМАЛЬ,SULU-SAMAL
971,Sunda,СУНДА/СУНДАНЦЫ,SUNDANESE
972,Susu,СУСУ/СУСУ,SUSU
973,Suto,СУТО/С,SUTO
